CityMunRes,CityMunCoord
LAGAWE (CAPITAL),"16.8083, 121.1939"
BAGANGA,"7.5747096, 126.5616073"
CALUBIAN,"11.4467301, 124.4286683"
JOSE ABAD SANTOS (TRINIDAD),"5.9124898, 125.6445185"
BANAYBANAY,"6.9668999, 126.0107563"
ALANGALANG,"11.2066762, 124.8466247"
BATO,"10.32793, 124.7893242"
PADRE BURGOS,"13.915937, 121.8149517"
DAGAMI,"11.065407, 124.9032144"
BAIS CITY,"9.5880256, 123.11511419604709"
BUCLOC,"17.4409401, 120.8572514"
POONA BAYABAO (GATA),"7.8345, 124.3477"
LUMBA-BAYABAO (MAGUING),"7.7821, 124.4642"
GANDARA,"12.0132823, 124.811448"
SIATON,"9.0627498, 123.0337961"
IGUIG,"17.7501663, 121.7353806"
BALINDONG (WATU),"7.92, 124.2"
BARILI,"10.116537, 123.5093986"
ALMERIA,"11.620278, 124.381667"
PANTUKAN,"7.1268151, 125.8971404"
BAYANG,"7.793733, 124.1972049"
BACARRA,"18.2517377, 120.6106589"
BUTIG,"7.7436836, 124.3132473"
ALCOY,"9.7087266, 123.5073652"
BUGUIAS,"16.8019477, 120.8213833"
IRIGA CITY,"13.4222626, 123.4129406"
PUDTOL,"18.2380574, 121.3731587"
BOKOD,"16.4908636, 120.8298308"
LUNA,"16.9683863, 121.7293475"
MANKAYAN,"16.8572492, 120.7941421"
SAGAY CITY,"10.9061819, 123.37677503604276"
SANTA MARCELA,"18.2875298, 121.4359707"
TIGBAUAN,"10.6744469, 122.3761115"
MANABO,"17.4325474, 120.7041038"
SOLANA,"17.6509356, 121.6909171"
SAN JOSE CITY,"11.2071109, 125.0125921"
SAN SEBASTIAN,"11.7101392, 125.0175663"
GINGOOG CITY,"8.8232748, 125.1012978"
PORO,"10.628765, 124.4073439"
PALO,"11.159448, 124.9908138"
ABUYOG,"10.7467715, 125.0120993"
LIBAGON,"10.2962647, 125.0509042"
TUBURAN,"10.7285353, 123.8254215"
TABONTABON,"11.0426452, 124.9650854"
CABATUAN,"10.8798603, 122.4819482"
DON MARCELINO,"6.1978508, 125.6977653"
MARAMAG,"7.7611218, 125.0047932"
BAKUN,"16.7921592, 120.6611325"
FLORA,"18.2148452, 121.4191186"
MAHAYAG,"8.129548, 123.4378612"
LUPI,"13.790532, 122.9106882"
SABLAN,"16.4977556, 120.4872447"
GENERAL LUNA,"13.688262, 122.1711441"
POLILLO,"14.7144608, 121.9380942"
SAN MARIANO,"16.9835964, 122.0127684"
ENRILE,"17.5617622, 121.7007107"
BESAO,"17.0955228, 120.8565903"
TUPI,"6.3313349, 124.9511647"
CITY OF ESCALANTE,"10.8412, 123.4991"
HINOBA-AN (ASIA),"9.6021766, 122.4670994"
SAGBAYAN (BORJA),"9.913182, 124.0932027"
SOCORRO,"9.6183104, 125.9650671"
NASIPIT,"8.9884377, 125.3408268"
BASEY,"11.2799579, 125.0692113"
MASIU,"7.8184459, 124.3308048"
MALILIPOT,"13.3190483, 123.7392658"
ATOK,"16.6284453, 120.7693666"
CITY OF SORSOGON (CAPITAL),"12.9700, 124.0030"
BACOLOD-KALAWI (BACOLOD GRANDE),"7.8735, 124.1254"
SOLSONA,"18.0927008, 120.7726048"
MULONDO,"7.9170563, 124.3615673"
MATAG-OB,"11.1455709, 124.4722659"
TOMAS OPPUS,"10.3050067, 124.9795399"
BAROTAC VIEJO,"11.0419661, 122.8505181"
LAS NIEVES,"8.7359578, 125.6015136"
SIBALOM,"10.7889049, 122.017534"
HINUNANGAN,"10.3940404, 125.2001942"
BONTOC,"17.0891276, 120.977394"
KAPANGAN,"16.5751112, 120.597927"
SANTIAGO,"16.6915963, 121.5478637"
CITY OF MAASIN (CAPITAL),"10.1654, 124.8403"
TABANGO,"11.3061737, 124.371579"
IPIL (CAPITAL),"14.526452673869267, 121.03122376155841"
DUMARAO,"11.2632048, 122.6872028"
BUBONG,"7.9833903, 124.3855095"
BALILIHAN,"9.756499, 123.9728153"
MATANOG,"7.4668478, 124.2585697"
JAMINDAN,"11.4089123, 122.5105924"
GINATILAN,"9.5698839, 123.3124232"
CALINOG,"11.1225592, 122.5380376"
PATIKUL,"6.0889469, 121.1054959"
MANJUYOD,"9.6788502, 123.1488063"
DATU ANGGAL MIDTIMBANG,"6.9931618, 124.3415426"
